Sf,tb,Q,BF,y,Cg,d50,Gs,C
0.00307,1.743396,0.134253,0,0.0579,1.47,0.000286,2.65,572.7598
0.00305,10.080047,1.37897,7,0.338,1.44,0.00025,2.65,8519.9853
0.00134,4.658359,0.224993,0,0.3661,1,0.00262,2.65,722.851
0.0157,3.284818,0.005154,5,0.0216,1.13,0.000786,2.65,10900
0.00185,1.212408,0.026051,0,0.0671,1.08,0.0025,2.65,0.266
0.001,1.313427,0.034687,2,0.1359,1.66,0.0004,2.65,30.3
0.001145,3.989934,0.199993,0,0.367,1,0.00221,2.65,62.671
0.00268,5.03414,0.067505,0,0.1999,1.99,0.00269,2.68,68.595
0.0075,2.353189,0.005154,3,0.0326,1.12,0.000506,2.65,3300
0.002,0.715433,0.005946,2,0.0366,1.31,0.00032,2.65,41
0.00051,3.078417,1.029977,3,0.619,1.44,0.00025,2.65,258
0.007,4.060082,0.010279,4,0.0643,1.12,0.000506,2.65,3300
0.00158,3.535775,0.364427,3,0.2286,1.67,0.00028,2.65,788.9998
0.0183,3.566034,0.005154,5,0.0201,1.13,0.000786,2.65,15500
0.0123,13.957819,0.439747,6,0.1158,1.54,0.00093,2.65,10200
0.0025,1.80171,0.010279,3,0.0768,1.13,0.000786,2.65,550
0.002,1.430436,0.016848,3,0.0735,1.77,0.000432,2.65,133.3
0.00081,1.795715,0.089997,0,0.2307,1,0.00221,2.65,14.497
0.0057,7.321837,0.438898,7,0.1311,1.54,0.00047,2.65,5360
0.0155,4.455939,0.010279,7,0.0296,1.06,0.000305,2.65,20200
0.000103,2.703978,272.776125,0,2.6761,3.12,0.000695,2.65,178.1
0.00095,3.017092,0.174993,0,0.3335,1,0.00376,2.65,6.167
0.00143,2.172587,0.069657,3,0.1585,2.07,0.00033,2.65,1520
0.00105,3.902487,0.199993,0,0.3923,1,0.00262,2.65,32.463
0.00151,1.468964,0.186031,0,0.0992,1.84,0.000899,2.65,108.774
0.000098,1.988478,233.10425,5,2.0726,1.34,0.000206,2.65,268
0.0062,5.206797,0.020784,4,0.0969,1.12,0.000506,2.65,3150
0.00456,8.866972,0.150641,5,0.2042,1.57,0.00032,2.65,3960
0.002,0.692061,0.010279,2,0.0354,1.94,0.00042,2.65,287.2998
0.0015,0.508818,0.00841,5,0.0347,1.57,0.000445,2.65,159.3
0.00012,4.040935,363.644938,0,3.4442,1.38,0.000275,2.65,103
0.0062,9.065071,0.125157,7,0.1524,1.25,0.00033,2.65,4990
0.0086,11.976655,0.127422,0,0.1433,1.57,0.0222,2.65,1.009
0.00167,0.687805,0.01699,0,0.0421,1.03,0.0025,2.65,0.002
0.00118,2.027447,0.053234,3,0.1798,1.57,0.00032,2.65,167.9999
0.00082,1.662458,0.079998,0,0.2106,1,0.00221,2.65,9.072
0.0191,7.589673,0.015432,5,0.0415,1.13,0.000786,2.65,22000
0.00166,5.44367,0.199993,0,0.3447,1,0.00262,2.65,162.174
0.00487,2.091265,0.026051,0,0.0439,1.1,0.00795,2.65,0.005
0.002,0.738801,0.011326,2,0.0378,1.94,0.00042,2.65,336
0.001,1.640687,0.058869,5,0.1704,1.66,0.0004,2.65,149.6
0.000227,4.995487,209.7995,0,2.2433,1.43,0.000345,2.65,211.63
0.0124,2.464427,0.005154,4,0.0204,1.12,0.000506,2.65,8300
0.0209,4.312805,0.005154,5,0.0213,1.13,0.000786,2.65,19000
0.00158,1.162147,0.118769,0,0.075,1.84,0.000899,2.65,40.89
0.004,2.988236,0.032988,5,0.0768,1.47,0.0041,2.65,20.319
0.000112,2.549712,279.79875,4,2.3165,1.37,0.000293,2.65,123
0.00846,7.91725,0.07079,0,0.096,1.07,0.0222,2.65,0.071
0.00566,9.080961,0.128838,7,0.1676,1.57,0.00032,2.65,5600
0.000177,3.741668,181.171125,0,2.1549,1.47,0.00034,2.65,303.7998
0.002,1.370571,0.026334,3,0.0704,1.46,0.000475,2.65,425.2
0.0012,3.25061,0.149995,0,0.2832,1,0.00262,2.65,48.856
0.000121,4.042107,349.458188,3,3.4138,1.41,0.00023,2.65,44
0.00072,1.332614,0.203875,3,0.189,1.54,0.00047,2.65,99
0.00071,1.643465,0.089997,0,0.2411,1,0.00221,2.65,5.471
0.0094,3.602164,0.020784,7,0.0393,1.06,0.000305,2.65,9470
0.00205,6.902132,0.249991,0,0.3542,1,0.00458,2.65,93.169
0.00189,2.370428,0.139032,3,0.128,1.6,0.00045,2.65,377.9998
0.007,4.662286,0.020784,0,0.0695,1.13,0.000786,2.65,3050
